HP,27,78,17,68,12,64,83,23,107,40,21,50,42,45,48,51,53,97,62,70,32,13,8,28,18,96,19,54,29,114,26,88,95,30,61,106,81,80,38,87,14,9,59,43,103,69,33,99,112,67,98,75,31,115,118,86,77,65,3,49,25,6,117,16,82,34,7,24,73,46,44,109,105,15,11,72,35,85,2,108,116,94,55,41,0,20,71,56,57,60,36,76,37,90,39,102
model.optimizer_lr,0.0001,0.001,0.0001,0.001,0.001,0.0001,0.0001,0.0001,0.0001,0.001,0.0001,0.0001,0.0001,0.0001,0.001,0.0001,0.0001,0.001,0.001,0.0001,0.0001,0.001,0.001,0.0001,0.001,0.0001,0.001,0.0001,0.001,0.0001,0.001,0.0001,0.001,0.0001,0.0001,0.0001,0.001,0.001,0.0001,0.001,0.001,0.0001,0.001,0.001,0.001,0.0001,0.001,0.001,0.0001,0.0001,0.001,0.001,0.001,0.0001,0.001,0.001,0.001,0.001,0.0001,0.001,0.001,0.0001,0.0001,0.0001,0.001,0.001,0.0001,0.0001,0.001,0.001,0.001,0.0001,0.0001,0.0001,0.0001,0.0001,0.001,0.0001,0.001,0.001,0.0001,0.001,0.001,0.001,0.0001,0.001,0.0001,0.0001,0.001,0.0001,0.001,0.0001,0.0001,0.001,0.001,0.0001
data.batch_size,64,64,256,16,16,64,256,64,64,64,256,64,256,16,16,16,16,256,16,64,64,64,64,64,256,16,16,16,16,256,64,16,16,256,256,16,16,64,64,256,256,256,64,64,256,256,256,256,256,16,256,16,16,16,64,16,16,256,256,16,64,16,16,16,256,16,256,16,64,256,16,64,16,64,256,16,64,64,16,64,64,256,64,256,64,256,16,256,64,256,64,64,256,256,256,64
model.weight_decay,0,0,0,0,0.01,0,0,0.01,0.01,0,0.01,0,0,0.01,0,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0,0,0,0.01,0.01,0,0.01,0.01,0.01,0,0,0.01,0,0.01,0.01,0,0,0,0.01,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0.01,0,0,0.01,0,0,0,0.01,0.01,0,0,0,0,0.01,0.01,0.01,0,0,0.01,0,0,0,0,0.01,0.01,0.01,0.01,0,0,0.01,0,0,0.01,0.01,0,0.01,0.01,0.01,0,0.01
model.model_type,unidirectional,unidirectional,bidirectional,convM,unidirectional,convM,unidirectional,bidirectional,transformer,convM,transformer,bidirectional,convM,transformer,bidirectional,unidirectional,transformer,bidirectional,convM,bidirectional,unidirectional,unidirectional,transformer,unidirectional,unidirectional,convM,unidirectional,bidirectional,bidirectional,unidirectional,convM,unidirectional,convM,convM,unidirectional,transformer,bidirectional,convM,transformer,unidirectional,convM,bidirectional,unidirectional,bidirectional,transformer,transformer,transformer,convM,bidirectional,bidirectional,transformer,transformer,transformer,convM,unidirectional,unidirectional,transformer,convM,bidirectional,bidirectional,transformer,bidirectional,bidirectional,convM,unidirectional,transformer,unidirectional,unidirectional,transformer,unidirectional,convM,unidirectional,transformer,bidirectional,convM,unidirectional,bidirectional,transformer,unidirectional,transformer,transformer,convM,bidirectional,transformer,convM,bidirectional,convM,transformer,bidirectional,convM,convM,convM,transformer,bidirectional,bidirectional,convM
model.corr_regularization,False,False,True,False,True,True,False,True,True,True,False,True,False,False,True,True,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,True,True,True,True,False,False,True,False,False,False,True,True,False,True,False,False,True,False,False,False,False,True,True,False,True,True,True,True,True,False,False,False,True,False,False,False,False,True,True,False,True,False,True,False,True,False,True,True,False,True,True,False,True,True,False,True,False
corr_input,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
regression_head,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
hparams_search,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml
data.ds_name,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto
