HP,5,1,8,9,3,6,7,4,2,0,5,1,8,9,3,6,7,4,2,0,5,1,8,9,3,6,7,4,2,0,5,1,8,9,3,6,7,4,2,0,5,1,8,9,3,6,7,4,2,0,5,1,8,9,3,6,7,4,2,0,5,1,8,9,3,6,7,4,2,0,5,1,8,9,3,6,7,4,2,0,5,1,8,3,6,7,4,2,0,5,1,8,9,3,6,7,4,2,0
seed,43,46,45,42,48,51,47,50,44,49,50,47,42,48,44,43,45,51,46,49,50,42,49,46,45,47,48,51,44,43,44,45,42,49,48,47,50,51,43,46,45,49,44,42,47,51,50,48,43,46,46,42,45,51,48,49,50,47,44,43,46,50,49,48,42,51,43,44,45,47,47,48,42,46,44,43,45,50,51,49,46,48,44,42,45,49,47,43,50,49,42,45,51,43,50,47,44,48,46
hparams_search,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml
model.optimizer_lr,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
data.batch_size,64,64,64,64,64,64,64,64,64,64,16,16,16,16,16,16,16,16,16,16,256,256,256,256,256,256,256,256,256,256,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,256,256,256,256,256,256,256,256,256,256,64,64,64,64,64,64,64,64,64,256,256,256,256,256,256,256,256,256,256
model.weight_decay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
model.model_type,unidirectional,unidirectional,unidirectional,unidirectional,unidirectional,unidirectional,unidirectional,unidirectional,unidirectional,unidirectional,bidirectional,bidirectional,bidirectional,bidirectional,bidirectional,bidirectional,bidirectional,bidirectional,bidirectional,bidirectional,transformer,transformer,transformer,transformer,transformer,transformer,transformer,transformer,transformer,transformer,bidirectional,bidirectional,bidirectional,bidirectional,bidirectional,bidirectional,bidirectional,bidirectional,bidirectional,bidirectional,convM,convM,convM,convM,convM,convM,convM,convM,convM,convM,convM,convM,convM,convM,convM,convM,convM,convM,convM,convM,mlp,mlp,mlp,mlp,mlp,mlp,mlp,mlp,mlp,mlp,unidirectional,unidirectional,unidirectional,unidirectional,unidirectional,unidirectional,unidirectional,unidirectional,unidirectional,unidirectional,mlp,mlp,mlp,mlp,mlp,mlp,mlp,mlp,mlp,transformer,transformer,transformer,transformer,transformer,transformer,transformer,transformer,transformer,transformer
model.corr_regularization,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
corr_input,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
regression_head,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
