,model.weight_decay,model.optimizer_lr,data.batch_size,corr_input,model.model_type,model.corr_regularization,regression_head
0,0.01,0.001,256,False,transformer,False,True
1,0.01,0.001,256,False,transformer,True,True
2,0.01,0.001,256,True,transformer,False,False
3,0.01,0.0001,16,False,convM,False,True
4,0.01,0.0001,256,False,transformer,False,True
5,0.01,0.0001,256,False,transformer,False,False
6,0.01,0.0001,256,True,transformer,False,True
7,0.01,0.0001,256,True,transformer,True,False
8,0,0.001,256,False,transformer,True,False
9,0,0.0001,256,True,transformer,False,False
