,model.weight_decay,model.optimizer_lr,data.batch_size,corr_input,model.model_type,model.corr_regularization,regression_head
0,0,0.0001,16,False,convM,False,True
1,0,0.0001,16,False,transformer,False,True
2,0,0.0001,256,True,convM,False,False
3,0,0.0001,256,True,unidirectional,True,True
4,0,0.0001,256,True,transformer,True,False
5,0,0.0001,64,False,transformer,False,True
6,0,0.0001,64,False,transformer,True,True
7,0,0.001,16,True,bidirectional,True,False
8,0,0.001,256,False,transformer,False,False
9,0,0.001,256,True,transformer,False,True
10,0,0.001,256,True,transformer,True,False
11,0,0.001,64,False,transformer,True,False
12,0,0.001,64,True,convM,False,True
13,0.01,0.0001,256,False,unidirectional,True,True
14,0.01,0.0001,256,True,convM,True,False
15,0.01,0.0001,256,True,bidirectional,False,False
16,0.01,0.0001,256,True,unidirectional,False,False
17,0.01,0.0001,64,False,transformer,True,False
18,0.01,0.0001,64,True,bidirectional,False,False
19,0.01,0.001,256,False,convM,False,True
20,0.01,0.001,256,False,bidirectional,True,False
21,0.01,0.001,256,False,transformer,True,False
22,0.01,0.001,256,False,transformer,True,True
23,0.01,0.001,256,True,bidirectional,False,True
24,0.01,0.001,256,True,unidirectional,False,True
25,0.01,0.001,64,False,transformer,True,True
26,0.01,0.001,64,True,transformer,True,True
