,model.weight_decay,model.optimizer_lr,data.batch_size,corr_input,model.model_type,model.corr_regularization,regression_head
0,0.01,0.0001,64,True,unidirectional,False,True
1,0.01,0.0001,64,True,transformer,False,True
2,0.01,0.0001,64,True,transformer,True,True
3,0.01,0.0001,64,True,convM,False,False
4,0.01,0.0001,64,False,transformer,False,False
5,0.01,0.0001,16,True,bidirectional,True,False
6,0.01,0.0001,16,True,convM,False,False
7,0.01,0.0001,16,False,mlp,True,False
8,0.01,0.0001,16,False,bidirectional,False,True
9,0.01,0.0001,16,False,convM,False,False
10,0.01,0.0001,256,True,unidirectional,True,True
11,0.01,0.0001,256,True,transformer,False,False
12,0.01,0.0001,256,True,transformer,True,False
13,0.01,0.0001,256,False,bidirectional,True,False
14,0.01,0.0001,256,False,transformer,False,False
15,0.01,0.0001,256,False,transformer,True,True
16,0.01,0.001,64,True,unidirectional,False,True
17,0.01,0.001,64,False,unidirectional,True,False
18,0.01,0.001,64,False,bidirectional,False,False
19,0.01,0.001,64,False,bidirectional,True,False
20,0.01,0.001,64,False,transformer,False,True
21,0.01,0.001,16,True,mlp,True,False
22,0.01,0.001,16,False,convM,False,True
23,0.01,0.001,256,True,transformer,True,False
24,0.01,0.001,256,True,convM,False,True
25,0.01,0.001,256,True,convM,True,False
26,0.01,0.001,256,False,unidirectional,True,True
27,0.01,0.001,256,False,bidirectional,True,True
28,0.01,0.001,256,False,transformer,False,True
29,0.01,0.001,256,False,convM,False,True
30,0,0.0001,64,True,bidirectional,True,False
31,0,0.0001,64,True,transformer,True,True
32,0,0.0001,64,False,bidirectional,True,False
33,0,0.0001,64,False,convM,False,True
34,0,0.0001,64,False,convM,True,False
35,0,0.0001,16,True,transformer,True,False
36,0,0.0001,16,False,convM,False,False
37,0,0.0001,256,True,bidirectional,False,True
38,0,0.0001,256,False,mlp,True,False
39,0,0.0001,256,False,transformer,False,False
40,0,0.0001,256,False,transformer,False,True
41,0,0.001,64,True,transformer,True,False
42,0,0.001,64,False,mlp,True,True
43,0,0.001,64,False,unidirectional,False,True
44,0,0.001,64,False,transformer,True,False
45,0,0.001,16,True,transformer,False,False
46,0,0.001,16,True,convM,False,True
47,0,0.001,16,False,bidirectional,True,False
48,0,0.001,16,False,convM,False,True
49,0,0.001,256,True,unidirectional,True,False
50,0,0.001,256,True,bidirectional,False,False
51,0,0.001,256,False,transformer,False,True
52,0,0.001,256,False,convM,True,True
