HP,78,68,5,66,12,64,83,58,23,107,113,40,50,42,45,48,51,53,62,70,32,13,8,18,96,19,29,10,88,30,61,47,80,38,14,9,111,59,103,69,99,98,75,31,118,86,77,65,119,3,49,25,6,117,16,82,34,7,4,24,73,46,109,105,15,11,74,72,110,52,35,85,2,91,116,94,55,41,84,0,20,71,92,56,57,60,36,76,37,90,100,102,63,104
model.optimizer_lr,0.001,0.0001,0.0001,0.0001,0.0001,0.001,0.001,0.0001,0.001,0.0001,0.0001,0.001,0.001,0.001,0.0001,0.0001,0.0001,0.0001,0.001,0.0001,0.001,0.0001,0.001,0.001,0.001,0.0001,0.0001,0.001,0.001,0.0001,0.001,0.0001,0.001,0.0001,0.0001,0.0001,0.001,0.001,0.001,0.0001,0.001,0.001,0.001,0.0001,0.001,0.0001,0.001,0.0001,0.0001,0.001,0.0001,0.0001,0.001,0.001,0.0001,0.001,0.001,0.0001,0.0001,0.0001,0.0001,0.001,0.001,0.001,0.0001,0.0001,0.001,0.001,0.001,0.0001,0.0001,0.0001,0.0001,0.0001,0.001,0.0001,0.0001,0.0001,0.001,0.0001,0.0001,0.001,0.001,0.0001,0.001,0.001,0.0001,0.001,0.0001,0.0001,0.001,0.001,0.001,0.001
data.batch_size,16,16,16,16,256,64,16,16,64,256,256,256,16,256,64,64,16,16,16,256,64,64,64,256,16,16,256,16,64,64,256,64,256,64,256,16,64,256,256,64,256,64,64,256,16,256,64,16,64,64,256,256,64,256,64,64,256,256,16,256,64,64,16,16,16,256,16,64,256,256,16,16,256,16,64,64,64,64,256,64,64,16,16,64,256,64,256,256,16,16,16,16,16,256
model.weight_decay,0.01,0,0,0.01,0.01,0.01,0.01,0,0.01,0.01,0,0.01,0,0.01,0,0,0.01,0,0,0,0,0.01,0,0,0,0.01,0,0,0.01,0,0,0.01,0,0.01,0,0.01,0.01,0,0.01,0.01,0,0,0.01,0.01,0,0,0,0,0.01,0.01,0,0.01,0,0,0.01,0,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0,0,0.01,0,0,0.01,0.01,0,0,0.01,0,0,0.01,0,0.01,0,0.01,0,0,0.01,0.01,0
model.model_type,transformer,unidirectional,transformer,unidirectional,bidirectional,convM,convM,convM,bidirectional,convM,transformer,convM,convM,transformer,convM,unidirectional,unidirectional,unidirectional,unidirectional,unidirectional,unidirectional,unidirectional,bidirectional,transformer,transformer,transformer,unidirectional,transformer,bidirectional,convM,unidirectional,convM,convM,transformer,convM,bidirectional,transformer,convM,unidirectional,bidirectional,bidirectional,unidirectional,unidirectional,bidirectional,convM,bidirectional,bidirectional,transformer,transformer,transformer,convM,unidirectional,transformer,unidirectional,bidirectional,transformer,unidirectional,transformer,transformer,bidirectional,unidirectional,convM,bidirectional,unidirectional,bidirectional,transformer,transformer,convM,bidirectional,unidirectional,convM,bidirectional,transformer,bidirectional,unidirectional,bidirectional,bidirectional,convM,convM,transformer,transformer,unidirectional,bidirectional,unidirectional,bidirectional,convM,convM,transformer,convM,convM,bidirectional,convM,bidirectional,bidirectional
model.corr_regularization,False,False,True,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,True,True,True,False,True,False,True,True,True,False,False,False,True,False,False,True,True,True,True,True,False,True,False,True,False,False,True,True,False,True,False,False,False,True,False,False,True,False,False,False,True,False,True,True,True,True,False,False,False,True,True,False,True,False,True,True,True,True,False,True,True,True,True,False,False,False,True,True,False,True,False,False
corr_input,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
regression_head,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
hparams_search,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml
data.ds_name,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint
