HP,5,1,8,9,3,6,7,4,2,0,5,1,8,9,3,6,7,4,2,0,1,8,9,3,6,7,4,2,5,1,8,9,3,6,7,4,2,0,5,1,8,9,3,6,7,4,2,0
seed,51,50,45,44,49,43,42,47,48,46,42,45,44,50,49,48,51,47,43,46,51,42,45,46,47,49,48,50,46,50,51,47,48,44,49,42,45,43,43,46,50,48,42,45,51,49,44,47
hparams_search,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml
model.optimizer_lr,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
data.batch_size,16,16,16,16,16,16,16,16,16,16,64,64,64,64,64,64,64,64,64,64,16,16,16,16,16,16,16,16,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64
model.weight_decay,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
model.model_type,convM,convM,convM,convM,convM,convM,convM,convM,convM,convM,transformer,transformer,transformer,transformer,transformer,transformer,transformer,transformer,transformer,transformer,bidirectional,bidirectional,bidirectional,bidirectional,bidirectional,bidirectional,bidirectional,bidirectional,mlp,mlp,mlp,mlp,mlp,mlp,mlp,mlp,mlp,mlp,unidirectional,unidirectional,unidirectional,unidirectional,unidirectional,unidirectional,unidirectional,unidirectional,unidirectional,unidirectional
model.corr_regularization,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False
corr_input,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
regression_head,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
data.ds_name,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint
max_lags,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
n_vars,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
model,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml
Test1_Auroc,0.86652195,0.86886346,0.8658922,0.8666395,0.8646541,0.871109,0.8669945,0.86682767,0.86725736,0.8665107,0.9687551,0.9686724,0.9686704,0.971022,0.96937263,0.9709126,0.9708797,0.9693388,0.9696752,0.97039443,0.9674282,0.9662196,0.96749467,0.9664281,0.9671261,0.96785104,0.87253845,0.9424949,0.73489964,0.7740024,0.7318721,0.731434,0.7309019,0.7326282,0.78840387,0.791368,0.7749662,0.72889155,0.9692545,0.92714685,0.96973234,0.9688442,0.9475102,0.92749935,0.96479017,0.85117567,0.9681644,0.96910816
