HP,5,1,8,9,3,6,7,4,2,0,5,1,8,9,3,6,7,4,2,0,5,1,8,9,3,6,7,4,2,0,5,1,8,9,3,6,7,4,2,0,5,8,9,3,6,7,4,2,0
seed,50,42,45,43,49,46,51,47,44,48,44,47,43,51,46,49,42,48,50,45,43,44,45,50,49,46,51,42,48,47,48,45,49,50,46,51,42,44,47,43,46,42,51,44,50,49,48,43,47
hparams_search,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml
model.optimizer_lr,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
data.batch_size,16,16,16,16,16,16,16,16,16,16,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,16,16,16,16,16,16,16,16,16
model.weight_decay,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
model.model_type,convM,convM,convM,convM,convM,convM,convM,convM,convM,convM,mlp,mlp,mlp,mlp,mlp,mlp,mlp,mlp,mlp,mlp,transformer,transformer,transformer,transformer,transformer,transformer,transformer,transformer,transformer,transformer,unidirectional,unidirectional,unidirectional,unidirectional,unidirectional,unidirectional,unidirectional,unidirectional,unidirectional,unidirectional,bidirectional,bidirectional,bidirectional,bidirectional,bidirectional,bidirectional,bidirectional,bidirectional,bidirectional
model.corr_regularization,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False
corr_input,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
regression_head,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
