HP,27,78,17,68,12,64,23,40,1,21,50,42,51,53,62,70,32,93,13,8,28,18,19,22,54,29,10,26,88,95,30,61,106,80,87,14,9,59,43,103,33,67,98,75,118,86,77,119,3,6,117,16,82,34,7,24,73,44,109,105,15,11,74,72,52,35,85,2,108,91,116,94,55,41,84,20,71,92,56,36,76,37,102,63,104
model.optimizer_lr,0.0001,0.0001,0.0001,0.001,0.001,0.0001,0.0001,0.001,0.001,0.001,0.0001,0.001,0.0001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0001,0.0001,0.0001,0.0001,0.0001,0.001,0.001,0.001,0.0001,0.0001,0.001,0.0001,0.001,0.0001,0.0001,0.001,0.001,0.001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.001,0.0001,0.001,0.001,0.001,0.001,0.0001,0.001,0.0001,0.0001,0.0001,0.001,0.001,0.001,0.001,0.001,0.001,0.0001,0.001,0.0001,0.0001,0.001,0.0001,0.0001,0.0001,0.001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.001,0.001,0.001,0.0001,0.001,0.0001
data.batch_size,256,64,64,16,16,256,16,64,256,256,16,64,64,16,64,256,16,16,256,64,16,256,64,16,256,16,16,16,256,16,16,64,256,16,64,64,16,16,64,256,256,64,64,256,16,256,16,256,16,64,256,256,64,16,16,256,16,64,256,64,64,16,64,64,256,16,64,256,64,16,16,16,64,256,16,64,16,16,256,64,16,64,256,64,256
model.weight_decay,0,0.01,0.01,0.01,0,0,0.01,0.01,0.01,0,0,0.01,0,0,0,0.01,0.01,0.01,0,0,0.01,0.01,0.01,0.01,0.01,0,0.01,0,0.01,0,0,0.01,0,0,0.01,0.01,0,0.01,0.01,0,0.01,0.01,0.01,0,0.01,0.01,0,0,0.01,0.01,0.01,0,0,0,0.01,0,0.01,0.01,0.01,0,0.01,0.01,0,0,0,0,0,0,0,0.01,0.01,0,0,0.01,0,0.01,0.01,0,0.01,0.01,0,0,0.01,0,0.01
model.model_type,mlp,bidirectional,bidirectional,unidirectional,unidirectional,unidirectional,mlp,unidirectional,unidirectional,unidirectional,bidirectional,unidirectional,unidirectional,convM,transformer,bidirectional,bidirectional,bidirectional,unidirectional,unidirectional,mlp,unidirectional,transformer,convM,unidirectional,mlp,bidirectional,mlp,mlp,bidirectional,mlp,unidirectional,convM,unidirectional,convM,transformer,unidirectional,unidirectional,mlp,convM,convM,mlp,mlp,bidirectional,mlp,bidirectional,bidirectional,mlp,mlp,bidirectional,mlp,mlp,unidirectional,mlp,transformer,convM,convM,transformer,bidirectional,bidirectional,bidirectional,transformer,mlp,transformer,bidirectional,bidirectional,mlp,mlp,mlp,unidirectional,bidirectional,convM,bidirectional,mlp,convM,unidirectional,unidirectional,convM,unidirectional,mlp,unidirectional,mlp,bidirectional,unidirectional,mlp
model.corr_regularization,True,False,True,True,True,False,False,True,True,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,True,True,True,False,True,True,True,False,True,False,True,True,False,False,True,True,True,False,True,True,True,True,False,False,False,True,True,True,True,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,True,True,True,False,False,True,False,False,True
corr_input,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
regression_head,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
hparams_search,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml
data.ds_name,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up
