HP,27,78,17,89,68,5,66,12,64,83,58,23,40,1,21,50,42,45,48,51,53,62,70,32,93,13,8,28,18,19,22,54,29,10,26,88,95,30,61,81,47,80,38,87,14,9,59,43,69,33,67,75,31,86,77,65,3,49,25,6,79,16,82,34,7,4,24,73,46,44,15,11,74,72,52,35,85,2,91,94,55,41,84,0,20,71,92,56,57,60,36,76,37,90,39,63
model.optimizer_lr,0.001,0.0001,0.0001,0.001,0.0001,0.001,0.0001,0.001,0.001,0.001,0.0001,0.0001,0.0001,0.001,0.001,0.0001,0.001,0.001,0.001,0.0001,0.001,0.001,0.001,0.0001,0.001,0.0001,0.0001,0.0001,0.001,0.0001,0.0001,0.001,0.001,0.0001,0.0001,0.0001,0.001,0.001,0.0001,0.0001,0.0001,0.0001,0.0001,0.001,0.0001,0.001,0.001,0.001,0.0001,0.0001,0.001,0.0001,0.001,0.0001,0.001,0.001,0.001,0.0001,0.0001,0.001,0.0001,0.0001,0.0001,0.001,0.001,0.001,0.0001,0.001,0.0001,0.001,0.0001,0.001,0.0001,0.001,0.001,0.001,0.001,0.0001,0.001,0.0001,0.001,0.0001,0.001,0.0001,0.0001,0.0001,0.0001,0.001,0.0001,0.0001,0.001,0.001,0.0001,0.001,0.001,0.0001
data.batch_size,16,64,64,16,16,16,16,64,64,16,256,16,256,16,64,64,16,256,256,256,64,16,16,16,256,16,64,256,64,16,16,16,64,64,16,256,256,16,16,64,64,256,256,16,64,64,256,64,256,256,64,256,16,16,16,256,256,256,256,256,64,64,256,64,256,64,64,16,64,256,16,16,256,64,64,16,256,64,256,256,256,16,256,16,256,16,64,256,16,64,256,64,64,64,64,16
model.weight_decay,0.01,0.01,0.01,0.01,0,0,0,0,0,0.01,0.01,0.01,0,0,0,0,0,0.01,0.01,0,0,0.01,0,0,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0,0,0.01,0.01,0,0.01,0.01,0,0,0.01,0,0.01,0.01,0,0.01,0,0,0,0.01,0.01,0,0.01,0,0.01,0.01,0,0,0,0,0,0,0,0.01,0,0.01,0,0.01,0.01,0,0.01,0.01,0.01,0,0,0.01,0,0.01,0,0.01,0.01,0,0,0,0.01,0.01,0.01,0,0,0,0.01,0.01,0.01,0
model.model_type,bidirectional,bidirectional,transformer,unidirectional,unidirectional,bidirectional,bidirectional,unidirectional,transformer,unidirectional,transformer,transformer,bidirectional,transformer,convM,unidirectional,bidirectional,convM,bidirectional,transformer,bidirectional,transformer,unidirectional,convM,unidirectional,unidirectional,unidirectional,convM,bidirectional,bidirectional,transformer,convM,bidirectional,transformer,unidirectional,unidirectional,transformer,transformer,bidirectional,convM,bidirectional,transformer,transformer,unidirectional,bidirectional,transformer,convM,unidirectional,bidirectional,convM,unidirectional,unidirectional,transformer,transformer,convM,transformer,transformer,bidirectional,convM,bidirectional,unidirectional,bidirectional,unidirectional,transformer,transformer,transformer,transformer,bidirectional,convM,convM,unidirectional,convM,bidirectional,unidirectional,convM,convM,bidirectional,convM,unidirectional,convM,unidirectional,convM,unidirectional,convM,unidirectional,transformer,unidirectional,bidirectional,convM,convM,convM,convM,transformer,bidirectional,convM,bidirectional
model.corr_regularization,False,True,False,False,True,False,True,False,True,True,True,True,False,False,False,True,True,True,True,False,False,False,False,True,False,True,False,False,True,True,False,True,True,True,False,False,False,True,False,False,True,True,False,True,False,True,False,True,True,False,True,True,True,False,False,False,True,True,True,True,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,True,True,True,True,False,False,True,True,False,False,True,True,True,True,False,False,False
corr_input,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
regression_head,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
hparams_search,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml
data.ds_name,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2
max_lags,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
n_vars,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
model,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml
Val_Auroc,0.7181857,0.5011858,0.5017658,0.79358107,0.5015589,0.50243413,0.4998663,0.8663722,0.50005025,0.7160306,0.50364274,0.5052366,0.5005163,0.63232136,0.5031489,0.50652266,0.50781363,0.50612706,0.49847436,0.5067694,0.50190336,0.5133369,0.851041,0.5041044,0.5015433,0.50476956,0.51249856,0.50716656,0.5062053,0.49461794,0.503895,0.50092643,0.504872,0.50969195,0.5064071,0.5097108,0.50516236,0.51561373,0.50022024,0.50369906,0.5015453,0.50677615,0.5069613,0.4972402,0.49871373,0.49750444,0.5036479,0.53341895,0.5034462,0.50719,0.62988555,0.5189893,0.5154371,0.50131893,0.5027684,0.5016438,0.49823928,0.49810806,0.50298613,0.5012128,0.5091142,0.49947748,0.51908326,0.51053643,0.50277746,0.5037637,0.50246453,0.6629678,0.50369173,0.5031836,0.50333923,0.5066183,0.5010576,0.9012197,0.50553083,0.5082767,0.50513804,0.50565815,0.5109072,0.50300723,0.50225514,0.5041886,0.5015881,0.5063648,0.53029597,0.50638795,0.50522757,0.4975815,0.5049154,0.5056659,0.5084765,0.50070053,0.50266093,0.49932525,0.50251293,0.50035536
Val_MSE,0.08535586,0.084182516,0.08323823,0.06663019,0.08355987,0.08357775,0.08406468,0.05613293,0.084367946,0.07413134,0.08374297,0.08409012,0.086587586,0.07976033,0.084069595,0.08365493,0.084101334,0.08583455,0.08379144,0.08311466,0.0842611,0.084453896,0.053550176,0.084803306,0.087679446,0.08370697,0.083287254,0.10809605,0.084165104,0.08367471,0.083783574,0.08477245,0.08422077,0.08388267,0.08310375,0.08569817,0.084676795,0.08442983,0.08380813,0.09682122,0.08419244,0.08365018,0.08312027,0.084141806,0.08423878,0.08441732,0.08911467,0.084116615,0.08423849,0.108107485,0.08133499,0.08384659,0.08439013,0.0838117,0.08429503,0.08386404,0.084173225,0.084625915,0.09421887,0.08413621,0.083358794,0.084329695,0.08386986,0.08489565,0.08414729,0.08504166,0.083771326,0.08086707,0.0968273,0.09045043,0.08312773,0.08462965,0.0873665,0.04985135,0.08433065,0.08479338,0.08440895,0.087127216,0.08319023,0.09420827,0.08309285,0.08481249,0.083486445,0.08713783,0.08493058,0.084080435,0.08350088,0.084086224,0.0883068,0.08713904,0.0837833,0.084124915,0.083809055,0.08384431,0.08406346,0.084059685
