HP,27,78,17,89,68,5,66,12,64,83,58,23,40,1,21,50,42,45,48,51,53,62,70,32,93,13,8,28,18,19,22,54,29,10,26,88,95,30,61,81,47,80,38,87,14,9,59,43,69,33,67,75,31,86,77,65,3,49,25,6,79,16,82,34,4,24,73,46,44,15,11,74,72,52,35,85,2,91,94,55,41,84,0,20,71,92,56,57,60,36,76,37,90,39,63
model.optimizer_lr,0.001,0.001,0.0001,0.0001,0.0001,0.0001,0.001,0.001,0.0001,0.001,0.0001,0.001,0.0001,0.0001,0.001,0.0001,0.0001,0.001,0.0001,0.001,0.001,0.001,0.001,0.0001,0.0001,0.0001,0.0001,0.001,0.0001,0.0001,0.0001,0.001,0.001,0.0001,0.001,0.0001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0001,0.001,0.0001,0.0001,0.001,0.0001,0.001,0.001,0.001,0.001,0.001,0.001,0.0001,0.001,0.001,0.0001,0.0001,0.001,0.001,0.0001,0.001,0.001,0.001,0.001,0.0001,0.0001,0.001,0.0001,0.001,0.0001,0.0001,0.0001,0.0001,0.001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.001,0.001,0.0001,0.0001,0.0001,0.001,0.001,0.0001,0.0001,0.001,0.001,0.0001
data.batch_size,64,256,256,64,64,64,16,256,64,64,256,256,64,64,16,64,256,64,16,64,64,16,256,256,256,16,64,256,256,16,16,64,64,16,16,16,16,64,64,16,16,16,16,16,256,64,16,64,64,16,16,16,16,16,256,16,256,256,256,16,16,256,16,64,256,64,64,256,256,256,256,256,256,64,16,256,256,256,64,64,16,256,16,64,256,16,64,16,64,64,256,64,256,16,64
model.weight_decay,0.01,0,0,0,0,0,0.01,0.01,0,0.01,0.01,0,0.01,0,0,0.01,0.01,0,0,0,0,0,0,0.01,0,0,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0,0.01,0.01,0.01,0,0.01,0,0,0.01,0,0,0,0,0,0.01,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0.01,0.01,0,0.01,0.01,0,0.01,0.01,0,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0,0.01,0,0.01,0.01,0,0.01,0,0.01,0,0,0.01,0,0,0.01,0.01,0,0.01
model.model_type,transformer,transformer,unidirectional,convM,unidirectional,transformer,bidirectional,convM,bidirectional,convM,transformer,convM,unidirectional,bidirectional,bidirectional,convM,convM,unidirectional,convM,transformer,convM,unidirectional,transformer,unidirectional,bidirectional,unidirectional,unidirectional,bidirectional,transformer,convM,bidirectional,convM,convM,transformer,transformer,convM,transformer,transformer,bidirectional,unidirectional,transformer,bidirectional,bidirectional,transformer,unidirectional,transformer,bidirectional,unidirectional,transformer,unidirectional,convM,convM,unidirectional,transformer,bidirectional,transformer,bidirectional,bidirectional,convM,convM,convM,transformer,unidirectional,unidirectional,transformer,transformer,bidirectional,bidirectional,transformer,convM,unidirectional,unidirectional,unidirectional,bidirectional,bidirectional,convM,convM,convM,convM,convM,unidirectional,bidirectional,bidirectional,unidirectional,unidirectional,unidirectional,unidirectional,transformer,bidirectional,bidirectional,bidirectional,bidirectional,unidirectional,convM,transformer
model.corr_regularization,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,False,True,False,True,False,False,True,False,True,True,True,True,True,False,False,False,False,True,False,True,True,False,True,False,True,False,False,False,False,True,True,True,False,False,True,False,True,True,False,False,False,False,True,True,False,True,True,True,True,True,False,False,False,True,False,False
corr_input,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
regression_head,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
hparams_search,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml
data.ds_name,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror,big_base_mirror
