HP,27,78,17,89,5,66,12,64,83,58,23,40,1,21,50,42,45,48,51,53,62,70,32,93,13,28,18,19,54,29,10,26,88,95,30,61,81,47,80,38,87,14,59,43,69,33,67,75,31,86,77,65,3,49,25,79,16,82,34,7,4,24,73,46,44,15,11,74,72,52,35,85,2,91,94,55,41,84,0,20,71,92,56,57,60,36,76,37,90,39,63
model.optimizer_lr,0.0001,0.001,0.0001,0.0001,0.001,0.001,0.001,0.0001,0.001,0.0001,0.0001,0.0001,0.001,0.0001,0.0001,0.0001,0.001,0.0001,0.001,0.001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.001,0.001,0.001,0.0001,0.001,0.001,0.001,0.0001,0.001,0.001,0.0001,0.0001,0.001,0.0001,0.001,0.001,0.0001,0.0001,0.0001,0.0001,0.0001,0.001,0.001,0.0001,0.001,0.001,0.001,0.0001,0.0001,0.001,0.001,0.0001,0.0001,0.0001,0.001,0.001,0.001,0.001,0.0001,0.001,0.001,0.001,0.001,0.001,0.0001,0.001,0.0001,0.001,0.001,0.0001,0.001,0.001,0.0001,0.001,0.001,0.0001,0.0001,0.0001,0.001,0.0001,0.001,0.0001,0.0001,0.0001,0.001
data.batch_size,256,64,64,16,16,256,256,64,16,64,64,256,16,256,16,64,256,64,64,64,64,256,16,16,256,16,16,16,64,64,16,64,256,64,256,64,64,16,16,64,16,16,256,16,16,16,64,256,256,256,256,256,16,256,16,64,64,256,16,256,16,16,64,256,64,256,64,64,16,16,256,16,16,64,256,16,64,64,64,64,64,16,64,256,256,64,16,16,16,256,256
model.weight_decay,0,0.01,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0.01,0,0,0.01,0,0.01,0,0,0,0,0.01,0,0.01,0,0.01,0.01,0,0.01,0,0,0,0.01,0,0.01,0,0.01,0.01,0,0.01,0,0.01,0.01,0,0,0.01,0,0.01,0.01,0.01,0,0,0,0,0.01,0,0.01,0.01,0.01,0,0,0,0.01,0.01,0,0,0,0.01,0,0.01,0,0,0,0.01,0.01,0.01,0,0,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0,0
model.model_type,unidirectional,transformer,transformer,unidirectional,transformer,bidirectional,transformer,transformer,convM,bidirectional,bidirectional,unidirectional,unidirectional,bidirectional,unidirectional,bidirectional,bidirectional,unidirectional,bidirectional,bidirectional,convM,convM,bidirectional,convM,unidirectional,convM,unidirectional,transformer,convM,convM,bidirectional,transformer,convM,unidirectional,unidirectional,unidirectional,unidirectional,bidirectional,unidirectional,unidirectional,transformer,convM,transformer,transformer,unidirectional,bidirectional,bidirectional,bidirectional,unidirectional,transformer,transformer,bidirectional,bidirectional,bidirectional,unidirectional,unidirectional,unidirectional,convM,bidirectional,unidirectional,unidirectional,bidirectional,transformer,transformer,transformer,convM,unidirectional,convM,transformer,convM,bidirectional,bidirectional,transformer,convM,convM,transformer,convM,bidirectional,transformer,transformer,bidirectional,transformer,convM,convM,convM,convM,convM,convM,convM,convM,unidirectional
model.corr_regularization,True,False,True,True,True,False,True,True,True,False,True,False,True,False,True,True,False,True,True,True,True,True,False,False,True,True,True,True,False,True,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,True,True,False,False,True,True,True,False,False,True,False,True,False,False,False,True,True,False,False,True,False,False,False,True,True,False,True,True,True,True,False,False,False,False,True,False,True,True,False,False,False,True,False,True
corr_input,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
regression_head,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
hparams_search,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml
data.ds_name,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3
