HP,27,17,5,12,23,40,1,21,42,45,32,13,8,28,18,19,22,29,10,26,30,47,38,14,9,43,33,31,3,25,6,16,34,7,4,24,46,44,15,11,35,2,41,0,20,36,37,39
model.optimizer_lr,0.0001,0.0001,0.0001,0.001,0.0001,0.001,0.001,0.001,0.001,0.0001,0.0001,0.001,0.0001,0.0001,0.0001,0.0001,0.001,0.0001,0.001,0.001,0.0001,0.0001,0.0001,0.001,0.001,0.0001,0.001,0.0001,0.0001,0.001,0.001,0.0001,0.001,0.0001,0.0001,0.001,0.001,0.001,0.001,0.001,0.001,0.0001,0.0001,0.001,0.0001,0.0001,0.001,0.001
data.batch_size,256,256,16,16,256,256,16,16,64,64,256,256,256,64,64,16,16,16,256,64,64,64,256,64,16,16,64,16,256,64,256,16,64,16,256,256,64,256,16,16,256,64,64,16,64,16,256,64
model.weight_decay,0,0,0,0.01,0.01,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0,0.01,0.01,0.01,0.01,0,0.01,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01
model.model_type,convM,transformer,transformer,convM,transformer,convM,transformer,transformer,transformer,transformer,convM,transformer,transformer,convM,convM,transformer,convM,convM,convM,transformer,transformer,convM,transformer,transformer,convM,convM,convM,convM,convM,convM,transformer,transformer,convM,transformer,convM,convM,convM,convM,transformer,convM,transformer,convM,transformer,transformer,transformer,convM,transformer,transformer
model.corr_regularization,True,True,True,True,False,False,False,True,True,True,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False,True,True,False,False,True,False,True,True,True,True,False,True,False,False,True,False,True,True
corr_input,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
regression_head,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
hparams_search,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml
data.ds_name,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2,scale_up_2
