,model.weight_decay,model.optimizer_lr,data.batch_size,corr_input,model.model_type,model.corr_regularization,regression_head
0,0.01,0.0001,16,True,transformer,False,False
1,0.01,0.0001,64,True,transformer,False,False
2,0.01,0.0001,64,True,transformer,True,False
3,0.01,0.0001,64,True,convM,False,False
4,0.01,0.0001,256,True,transformer,False,False
5,0.01,0.0001,256,True,transformer,True,False
6,0.01,0.001,64,True,convM,False,False
7,0.01,0.001,64,True,convM,True,False
8,0.01,0.001,256,True,transformer,False,False
9,0.01,0.001,256,True,transformer,True,False
10,0,0.0001,16,True,transformer,True,False
11,0,0.0001,64,True,transformer,False,False
12,0,0.0001,64,True,convM,False,False
13,0,0.0001,64,True,convM,True,False
14,0,0.0001,256,True,transformer,False,False
15,0,0.0001,256,True,transformer,True,False
16,0,0.0001,256,True,convM,False,False
17,0,0.001,16,True,transformer,True,False
18,0,0.001,64,True,convM,False,False
19,0,0.001,256,True,transformer,False,False
20,0,0.001,256,True,transformer,True,False
