HP,27,78,17,89,68,5,66,12,64,83,58,23,107,113,40,1,21,50,42,45,48,51,53,97,62,70,32,93,13,8,28,18,96,19,22,54,29,10,114,26,101,88,95,30,61,106,81,47,80,38,87,14,9,111,59,43,103,69,33,99,112,67,98,75,31,115,118,86,77,65,119,3,49,25,6,117,79,16,82,34,7,4,24,73,46,44,109,105,15,11,74,72,110,52,35,85,2,108,91,116,94,55,41,84,0,20,71,92,56,57,60,36,76,37,90,39,100,102,63,104
model.optimizer_lr,0.001,0.0001,0.001,0.0001,0.0001,0.001,0.001,0.0001,0.0001,0.001,0.0001,0.0001,0.001,0.0001,0.001,0.001,0.0001,0.0001,0.0001,0.001,0.0001,0.001,0.0001,0.0001,0.001,0.0001,0.001,0.0001,0.0001,0.001,0.0001,0.0001,0.001,0.0001,0.0001,0.0001,0.001,0.0001,0.0001,0.0001,0.001,0.001,0.001,0.001,0.001,0.001,0.0001,0.0001,0.001,0.0001,0.001,0.0001,0.001,0.0001,0.001,0.0001,0.001,0.001,0.0001,0.0001,0.0001,0.0001,0.001,0.0001,0.001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.001,0.001,0.001,0.001,0.001,0.001,0.0001,0.001,0.001,0.001,0.0001,0.0001,0.001,0.0001,0.0001,0.001,0.001,0.001,0.0001,0.001,0.0001,0.001,0.001,0.0001,0.001,0.0001,0.001,0.001,0.001,0.001,0.001,0.001,0.0001,0.001,0.001,0.0001,0.0001,0.0001,0.001,0.0001,0.001,0.0001,0.001,0.001,0.001,0.0001,0.0001,0.001
data.batch_size,64,256,16,16,256,256,256,16,16,256,16,256,16,16,64,256,64,16,256,64,64,16,256,16,64,256,16,256,256,16,16,256,16,64,16,16,256,256,64,64,64,256,64,64,256,16,64,256,16,16,256,16,64,256,256,16,16,64,16,64,256,64,16,16,64,64,64,64,256,256,16,64,64,64,64,256,16,256,64,64,256,64,256,256,256,16,64,256,256,16,64,64,16,16,16,64,16,64,16,256,16,64,64,256,16,256,16,16,64,256,16,256,64,64,64,256,256,64,256,16
model.weight_decay,0.01,0,0.01,0.01,0.01,0,0.01,0,0,0.01,0.01,0,0.01,0.01,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0.01,0,0,0.01,0.01,0,0.01,0.01,0,0.01,0,0,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0.01,0.01,0,0.01,0.01,0.01,0,0,0.01,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0.01,0,0.01,0,0,0.01,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0.01,0,0,0,0.01,0.01,0.01,0,0,0.01,0.01,0,0,0,0.01,0.01,0,0,0.01,0,0,0,0.01,0,0,0.01,0.01,0.01,0,0.01
model.model_type,convM,unidirectional,bidirectional,bidirectional,convM,mlp,mlp,convM,mlp,convM,unidirectional,bidirectional,unidirectional,transformer,bidirectional,bidirectional,bidirectional,convM,transformer,unidirectional,unidirectional,transformer,mlp,mlp,convM,transformer,unidirectional,mlp,unidirectional,transformer,convM,bidirectional,convM,mlp,mlp,transformer,transformer,mlp,mlp,convM,mlp,bidirectional,convM,unidirectional,unidirectional,convM,unidirectional,transformer,convM,unidirectional,convM,transformer,bidirectional,convM,convM,unidirectional,mlp,mlp,mlp,bidirectional,transformer,convM,transformer,transformer,bidirectional,convM,transformer,mlp,convM,bidirectional,convM,bidirectional,transformer,mlp,unidirectional,unidirectional,bidirectional,transformer,bidirectional,bidirectional,convM,transformer,unidirectional,unidirectional,unidirectional,bidirectional,unidirectional,bidirectional,transformer,mlp,mlp,convM,unidirectional,mlp,mlp,transformer,unidirectional,transformer,bidirectional,transformer,bidirectional,unidirectional,transformer,mlp,bidirectional,mlp,unidirectional,bidirectional,transformer,convM,convM,bidirectional,transformer,unidirectional,mlp,bidirectional,unidirectional,convM,mlp,transformer
model.corr_regularization,True,False,False,True,True,False,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False,False,True,False,False,False,False,False,True,True,False,False,True,True,True,True,False,True,True,False,True,True,False,False,True,False,True,True,True,False,True,True,False,False,False,True,True,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,True,False,True,True,False,False,True,True,False,True,True,False,False,False,True,False,True,False,False,False,True,False,True,True,True,True,True,False,False,True,True,True,True,False,True,True,False,False,False,False,True,False,True
corr_input,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
regression_head,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
hparams_search,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml
data.ds_name,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up,scale_up
