HP,3,2,4,1,0,3,2,4,1,0,3,2,4,1,0,3,2,4,1,0,3,2,4,1,0,3,2,4,1,0,3,2,4,1,0,3,2,4,1,0,3,2,4,1,0,3,2,4,1,0,3,2,4,1,0,3,2,4,1,0,3,2,4,1,0,3,2,4,1,0,3,2,4,1,0,3,2,4,1,0,3,2,4,1,0
seed,42,43,44,46,45,46,44,45,43,42,43,45,44,42,46,43,45,46,42,44,44,42,45,46,43,43,45,44,42,46,44,42,46,43,45,44,42,43,46,45,43,46,44,45,42,42,46,43,45,44,45,42,43,44,46,44,45,43,42,46,42,43,44,46,45,42,44,46,43,45,45,43,44,46,42,43,42,46,45,44,45,44,46,43,42
hparams_search,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml
model.optimizer_lr,0.0001,0.0001,0.0001,0.0001,0.0001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0001,0.0001,0.0001,0.0001,0.0001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
data.batch_size,16,16,16,16,16,256,256,256,256,256,16,16,16,16,16,16,16,16,16,16,64,64,64,64,64,64,64,64,64,64,16,16,16,16,16,64,64,64,64,64,256,256,256,256,256,16,16,16,16,16,64,64,64,64,64,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,256,256,256,256,256,16,16,16,16,16,16,16,16,16,16
model.weight_decay,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0
model.model_type,convM,convM,convM,convM,convM,mlp,mlp,mlp,mlp,mlp,bidirectional,bidirectional,bidirectional,bidirectional,bidirectional,unidirectional,unidirectional,unidirectional,unidirectional,unidirectional,unidirectional,unidirectional,unidirectional,unidirectional,unidirectional,mlp,mlp,mlp,mlp,mlp,convM,convM,convM,convM,convM,bidirectional,bidirectional,bidirectional,bidirectional,bidirectional,unidirectional,unidirectional,unidirectional,unidirectional,unidirectional,bidirectional,bidirectional,bidirectional,bidirectional,bidirectional,bidirectional,bidirectional,bidirectional,bidirectional,bidirectional,mlp,mlp,mlp,mlp,mlp,mlp,mlp,mlp,mlp,mlp,bidirectional,bidirectional,bidirectional,bidirectional,bidirectional,convM,convM,convM,convM,convM,unidirectional,unidirectional,unidirectional,unidirectional,unidirectional,unidirectional,unidirectional,unidirectional,unidirectional,unidirectional
model.corr_regularization,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False
corr_input,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
regression_head,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
