HP,1,0,3,2,1,0
seed,42,43,45,43,44,42
hparams_search,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml,std_runs_slurm.yaml
model.optimizer_lr,0.001,0.001,0.0001,0.0001,0.0001,0.0001
data.batch_size,64,64,256,256,256,256
model.weight_decay,0,0,0.01,0.01,0.01,0.01
model.model_type,transformer,transformer,convM,convM,convM,convM
model.corr_regularization,False,False,False,False,False,False
corr_input,True,True,True,True,True,True
regression_head,False,False,False,False,False,False
data.ds_name,scale_up,scale_up,scale_up_3,scale_up_3,scale_up_3,scale_up_3
max_lags,3,3,3,3,3,3
n_vars,10,10,15,15,15,15
model,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml
Test1_Auroc,0.66870004,0.49735877,0.49706843,0.49912736,0.5029726,0.50111943
Test1_MSE,0.08477173,0.10978205,0.082397394,0.08337997,0.08234297,0.082694195
Test2_AUROC,0.708848,0.5003639,0.5014819,0.50525105,0.50286543,0.5026015
Test2_MSE,0.07936152,0.112441406,0.081002064,0.08154825,0.08100922,0.08148863
